country,year,house_price_index
Belgium,2015,100.0
Bulgaria,2015,100.0
Czechia,2015,100.0
Denmark,2015,100.0
Germany,2015,100.0
Estonia,2015,100.0
Ireland,2015,100.0
Greece,2015,100.0
Spain,2015,100.0
France,2015,100.0
Croatia,2015,100.0
Italy,2015,100.0
Cyprus,2015,100.0
Latvia,2015,100.0
Lithuania,2015,100.0
Luxembourg,2015,100.0
Hungary,2015,100.0
Malta,2015,100.0
Netherlands,2015,100.0
Austria,2015,100.0
Poland,2015,100.0
Portugal,2015,100.0
Romania,2015,100.0
Slovenia,2015,100.0
Slovakia,2015,100.0
Finland,2015,100.0
Sweden,2015,100.0
Belgium,2016,102.33
Bulgaria,2016,107.02
Czechia,2016,107.2
Denmark,2016,104.57
Germany,2016,107.5
Estonia,2016,104.75
Ireland,2016,107.46
Greece,2016,97.62
Spain,2016,104.62
France,2016,101.04
Croatia,2016,100.89
Italy,2016,100.3
Cyprus,2016,99.82
Latvia,2016,108.49
Lithuania,2016,105.4
Luxembourg,2016,106.01
Hungary,2016,113.38
Malta,2016,105.45
Netherlands,2016,105.29
Austria,2016,106.71
Poland,2016,101.86
Portugal,2016,107.12
Romania,2016,105.95
Slovenia,2016,103.25
Slovakia,2016,106.67
Finland,2016,101.29
Sweden,2016,108.24
Belgium,2017,105.95
Bulgaria,2017,116.3
Czechia,2017,119.7
Denmark,2017,109.75
Germany,2017,114.1
Estonia,2017,110.51
Ireland,2017,119.14
Greece,2017,96.63
Spain,2017,111.1
France,2017,104.24
Croatia,2017,104.75
Italy,2017,99.2
Cyprus,2017,104.48
Latvia,2017,118.01
Lithuania,2017,114.8
Luxembourg,2017,111.96
Hungary,2017,127.24
Malta,2017,111.03
Netherlands,2017,113.81
Austria,2017,112.14
Poland,2017,105.78
Portugal,2017,117.02
Romania,2017,112.36
Slovenia,2017,111.79
Slovakia,2017,112.91
Finland,2017,102.39
Sweden,2017,115.43
Belgium,2018,109.15
Bulgaria,2018,123.96
Czechia,2018,130.0
Denmark,2018,114.59
Germany,2018,121.7
Estonia,2018,117.07
Ireland,2018,131.33
Greece,2018,98.38
Spain,2018,118.58
France,2018,107.29
Croatia,2018,111.14
Italy,2018,98.6
Cyprus,2018,103.08
Latvia,2018,129.3
Lithuania,2018,123.18
Luxembourg,2018,119.86
Hungary,2018,145.5
Malta,2018,117.45
Netherlands,2018,124.4
Austria,2018,118.83
Poland,2018,112.74
Portugal,2018,129.03
Romania,2018,118.62
Slovenia,2018,121.55
Slovakia,2018,121.32
Finland,2018,103.34
Sweden,2018,114.35
Belgium,2019,113.23
Bulgaria,2019,131.42
Czechia,2019,141.9
Denmark,2019,117.13
Germany,2019,128.7
Estonia,2019,125.27
Ireland,2019,134.41
Greece,2019,105.48
Spain,2019,124.71
France,2019,110.86
Croatia,2019,121.1
Italy,2019,98.5
Cyprus,2019,111.7
Latvia,2019,140.88
Lithuania,2019,131.61
Luxembourg,2019,131.99
Hungary,2019,170.17
Malta,2019,124.65
Netherlands,2019,133.38
Austria,2019,125.97
Poland,2019,122.52
Portugal,2019,141.88
Romania,2019,122.69
Slovenia,2019,129.69
Slovakia,2019,132.4
Finland,2019,103.77
Sweden,2019,117.19
Belgium,2020,118.09
Bulgaria,2020,137.41
Czechia,2020,153.9
Denmark,2020,122.18
Germany,2020,138.7
Estonia,2020,132.79
Ireland,2020,134.82
Greece,2020,110.22
Spain,2020,127.5
France,2020,116.62
Croatia,2020,130.38
Italy,2020,100.4
Cyprus,2020,117.49
Latvia,2020,145.77
Lithuania,2020,141.18
Luxembourg,2020,151.12
Hungary,2020,178.58
Malta,2020,128.86
Netherlands,2020,144.07
Austria,2020,135.52
Poland,2020,135.36
Portugal,2020,154.33
Romania,2020,128.44
Slovenia,2020,135.66
Slovakia,2020,145.02
Finland,2020,105.6
Sweden,2020,122.11
Belgium,2021,125.96
Bulgaria,2021,149.33
Czechia,2021,184.2
Denmark,2021,136.28
Germany,2021,154.7
Estonia,2021,152.78
Ireland,2021,145.98
Greece,2021,118.61
Spain,2021,132.19
France,2021,123.98
Croatia,2021,139.91
Italy,2021,103.0
Cyprus,2021,115.7
Latvia,2021,161.65
Lithuania,2021,163.84
Luxembourg,2021,172.15
Hungary,2021,208.04
Malta,2021,135.44
Netherlands,2021,164.94
Austria,2021,151.02
Poland,2021,147.77
Portugal,2021,168.84
Romania,2021,134.09
Slovenia,2021,151.32
Slovakia,2021,154.27
Finland,2021,110.46
Sweden,2021,134.46
Belgium,2022,132.93
Bulgaria,2022,169.92
Czechia,2022,215.3
Denmark,2022,142.7
Germany,2022,164.1
Estonia,2022,186.76
Ireland,2022,163.96
Greece,2022,132.77
Spain,2022,141.98
France,2022,131.82
Croatia,2022,160.69
Italy,2022,106.9
Cyprus,2022,123.22
Latvia,2022,184.01
Lithuania,2022,195.05
Luxembourg,2022,188.6
Hungary,2022,254.52
Malta,2022,144.45
Netherlands,2022,186.84
Austria,2022,168.49
Poland,2022,165.21
Portugal,2022,190.17
Romania,2022,143.7
Slovenia,2022,173.65
Slovakia,2022,175.41
Finland,2022,111.52
Sweden,2022,139.25
Belgium,2023,136.05
Bulgaria,2023,186.67
Czechia,2023,211.7
Denmark,2023,137.28
Germany,2023,150.3
Estonia,2023,197.72
Ireland,2023,168.99
Greece,2023,151.16
Spain,2023,147.69
France,2023,131.26
Croatia,2023,179.88
Italy,2023,108.3
Cyprus,2023,134.6
Latvia,2023,190.89
Lithuania,2023,214.2
Luxembourg,2023,171.48
Hungary,2023,272.54
Malta,2023,153.42
Netherlands,2023,183.26
Austria,2023,163.68
Poland,2023,179.78
Portugal,2023,205.76
Romania,2023,148.43
Slovenia,2023,186.22
Slovakia,2023,175.08
Finland,2023,104.58
Sweden,2023,131.93
Belgium,2024,140.42
Bulgaria,2024,217.47
Czechia,2024,222.3
Denmark,2024,142.11
Germany,2024,148.0
Estonia,2024,209.79
Ireland,2024,183.38
Greece,2024,164.9
Spain,2024,160.25
France,2024,126.39
Croatia,2024,198.54
Italy,2024,111.7
Cyprus,2024,144.46
Latvia,2024,198.9
Lithuania,2024,235.02
Luxembourg,2024,162.5
Hungary,2024,309.86
Malta,2024,163.74
Netherlands,2024,198.24
Austria,2024,163.06
Poland,2024,206.7
Portugal,2024,224.44
